Station,Year,Month,Day,MeanTemp,NTempObs,DewPoint,NDewPointObs,SeaLevelPressure,NSeaLevPressObs,StationPressure,NStatPressObs,Visibility,NVisibilityObs,MeanWindSpeed,NWindObs,MaxSustWindSpeed,MaxWindGust,MaxTemp,MaxTempSource,MinTemp,MinTempSource,PrecipAmount,NPrecipReportHours,PrecipFlag,SnowDepth,Fog,Rain,Snow,Hail,Thunder,Tornado
phoenix-sky-harbor,2006,3,13,50.7,24,29.4,24,1021.2,24,981.5,24,10,24,5.4,24,11.8,NULL,62.1,explicit,42.1,explicit,0.04,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,14,56.9,24,28.3,24,1017.7,24,978.3,24,10,24,4.7,24,11.1,16.9,73,explicit,44.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,15,63.3,24,34.9,24,1013.4,24,974.5,24,10,24,4.8,24,9.9,NULL,73,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,16,62.7,24,31.1,24,1016.5,24,977.5,24,10,24,4.2,24,7,NULL,75,explicit,50,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,17,64.8,24,32.9,24,1012.6,24,973.8,24,10,24,5.3,24,8,NULL,79,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,18,64.5,24,29.6,24,1007.3,24,968.7,24,10,24,6.9,24,16.9,24.9,79,explicit,54,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,19,53.1,24,32.3,24,1007,24,967.8,20,9.7,24,6.9,24,14,16.9,68,explicit,46,explicit,0,24,G,NULL,0,1,0,0,0,0
phoenix-sky-harbor,2006,3,20,52.3,24,39.2,24,1012.3,24,973,24,10,24,6.1,24,10.9,NULL,62.1,explicit,46.9,explicit,0.11,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,21,56.9,24,37.6,24,1012.5,24,973.4,24,9.9,24,7,24,20.8,23.7,64.9,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,22,54,24,31.2,24,1017.2,24,977.8,24,10,24,5.7,24,19,NULL,68,explicit,43,explicit,0.01,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,23,62.2,24,31.6,24,1021.5,24,982.1,24,10,24,4.9,24,12,NULL,79,explicit,44.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,24,69.1,24,26.7,24,1016.9,24,978.1,24,10,24,5.4,24,9.9,NULL,81,explicit,50,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,25,70.5,24,28.5,24,1012.6,24,974,24,10,24,5.4,24,8.9,NULL,87.1,explicit,55.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,26,73.6,24,24.4,24,1010.7,24,972.2,24,10,24,7,24,11.8,NULL,87.1,explicit,57,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,27,72.4,24,38.6,24,1011.9,24,973.4,24,10,24,5.9,24,11.8,15.9,82.9,explicit,62.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,28,71.1,24,41.6,24,1012.1,24,973.3,24,10,24,6.6,24,13.8,20.8,79,explicit,64.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,29,69.8,24,39.9,24,1009.3,24,970.8,24,10,24,8.9,24,23.7,26.8,78.1,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,30,64.6,24,34.1,24,1012.7,24,974,24,10,24,7.1,24,23.9,NULL,78.1,explicit,57,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,31,66.7,24,37.2,24,1012.6,24,973.8,24,10,24,5.4,24,11.8,18.8,75.9,hourly,57.9,hourly,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,1,68.7,24,33.4,24,1014.9,24,976.2,24,10,24,7.3,24,13.8,18.8,75.9,explicit,57,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,2,67.8,24,31.8,24,1016.8,24,978,24,10,24,5.2,24,11.1,NULL,82,explicit,55.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,3,73.2,24,28.9,24,1014.9,24,976.2,24,10,24,3.6,24,7,NULL,88,explicit,57,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,4,78.1,24,33.2,24,1011.5,24,973.3,24,10,24,5.7,24,9.9,NULL,88,explicit,63,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,5,72.2,24,38.9,24,1008.5,24,970.2,24,9.8,24,10.2,24,23.7,NULL,84.9,explicit,57,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,6,60.8,24,29.8,24,1014.2,24,975.5,23,10,24,9.5,24,22.7,NULL,75,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,7,65.1,24,29.5,24,1014.1,24,975.2,24,10,24,4.9,24,9.9,NULL,80.1,explicit,52,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,8,71,24,27.5,24,1013.7,24,975.1,24,10,24,4.3,24,7,NULL,89.1,explicit,54,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,9,74.6,24,25.2,24,1011,24,972.6,24,10,24,3.9,24,8.9,NULL,89.1,explicit,57.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,10,74.5,24,26.9,24,1009.1,24,970.8,24,10,24,5.8,24,11.8,NULL,88,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,11,70.5,24,34,24,1010.4,16,973.1,24,10,24,4.9,24,12.8,NULL,82,explicit,59,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,12,74.9,24,30.7,24,1015.6,20,976.5,24,10,24,5.9,24,9.9,15.9,93,explicit,62.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,13,79.7,24,23.7,24,1014.4,24,976.1,24,10,24,4.4,24,11.8,15.9,96.1,explicit,63,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,14,82.1,24,31.3,24,1007.8,24,969.9,24,10,24,7.7,24,26.8,33.6,96.1,explicit,64.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,15,71.4,24,37.2,24,1010.3,24,971.1,8,8,24,9.4,24,27.8,33.6,93,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,16,71.7,24,36.6,24,1011.7,24,973.1,24,10,24,4.4,24,10.9,16.9,86,explicit,60.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,17,74.4,24,32,24,1010.9,24,972.5,24,10,24,7.3,24,15,18.8,86,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,18,71.5,24,23.6,24,1012.3,24,973.8,24,10,24,6.6,24,15.9,NULL,84,explicit,57.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,19,73.5,24,21,24,1009.4,24,971.1,24,10,24,4.5,24,8.9,15,87.1,explicit,60.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,20,74.9,24,20.1,24,1008.9,24,970.6,24,10,24,6.7,24,12.8,NULL,89.1,explicit,60.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,21,78,24,21.8,24,1008.7,24,970.5,24,10,24,5,24,8,NULL,93,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,22,80.8,24,23.2,24,1006.2,24,968.3,24,10,24,7.2,24,15.9,27.8,93.9,explicit,64,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,23,72.7,24,27.1,24,1009.8,24,971.5,24,10,24,7.6,24,16.9,22.7,93.9,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,24,68.2,24,30.3,24,1013.4,24,974.7,24,10,24,5.8,24,15.9,22.7,80.1,explicit,57.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,25,72.7,24,26.6,24,1011.4,24,972.9,24,10,24,4.9,24,9.9,NULL,87.1,explicit,59,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,26,76.5,24,27.3,24,1008.2,24,970,24,10,24,6.3,24,10.9,23.7,91.9,explicit,60.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,27,71.6,24,32.1,24,1008.1,24,969.8,24,10,24,9.7,24,21.8,27.8,91.9,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,28,62.3,24,38.8,24,1013.2,24,974.4,24,10,24,6.2,24,15.9,NULL,77,explicit,55.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,29,71.7,24,41.4,24,1014.2,24,975.5,24,10,24,6,24,11.8,15.9,88,explicit,57,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,4,30,79.8,24,39,24,1010.4,24,972.2,24,10,24,6.2,24,12,NULL,96.1,explicit,61,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,1,84.7,24,34.4,24,1007.5,24,969.7,24,10,24,5.9,24,11.8,15,99,explicit,66,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,2,85.4,24,28,24,1007.8,24,970,24,10,24,5.9,24,9.9,13.8,99,explicit,69.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,3,83.6,24,28.5,24,1007.3,24,969.5,24,10,24,8.2,24,17.9,19.8,96.1,explicit,69.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,4,80.5,24,24,24,1008.3,24,970.4,24,10,24,8.8,24,15.9,16.9,95,explicit,64.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,5,78.1,24,27.9,24,1008.6,24,970.5,24,10,24,7.2,24,13.8,18.8,93,explicit,64.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,6,78.5,24,34.1,24,1009.3,24,971.1,24,10,24,5.7,24,13,15.9,91,explicit,66.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,7,80.9,24,33,24,1007.6,24,969.6,24,10,24,5.8,24,9.9,15,93.9,explicit,66.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,8,83,24,32.5,24,1008.2,24,970.3,24,9.9,24,5.4,24,12.8,NULL,95,explicit,69.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,9,82.8,24,30.6,24,1007,24,969.2,24,10,24,5.7,24,15,NULL,95,explicit,69.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,10,84.8,24,32.4,24,1009,24,971.1,24,10,24,5.2,24,9.9,NULL,99,explicit,70,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,11,86.4,24,32.7,24,1009.2,24,971.4,24,10,24,4.8,24,9.9,15.9,100,explicit,73,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,12,87.1,24,28.2,24,1007.5,24,969.8,24,10,24,4.1,24,9.9,16.9,100,explicit,71.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,13,88,24,27,24,1008.1,24,970.4,24,10,24,5.9,24,9.9,16.9,100.9,explicit,72,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,5,14,89.4,24,31,24,1008.7,24,971,24,10,24,6.1,24,10.9,16.9,105.1,explicit,73.9,explicit,0,24,G,NULL,0,0,0,0,0,0
